,LinReg(Time),LinReg(Acc),Poly(Time),Poly[Acc],Ridge(Time),Ridge(Acc),lasso(Time),lasso(Acc)
0,0.0,0.7273881347643563,,,0.008004426956176758,0.7273881347643563,0.0,0.7265846558544322
1,0.008006811141967773,0.7538158218280907,,,0.0,0.7538158218280907,0.0,0.7565584531721105
2,0.008002758026123047,0.7770293235402175,,,0.0,0.7770293235402175,0.0,0.7783068709768693
3,0.0,0.6508036256547665,,,0.0,0.6508036256547665,0.0,0.6514662549727598
4,0.0,0.7078496701081123,,,0.0,0.7078496701081123,0.008002996444702148,0.709416724906728
5,0.0,0.7039488320845043,,,0.0,0.7039488320845043,0.0,0.7054217741946293
6,0.0,0.6796711662884188,,,0.0,0.6796711662884188,0.0,0.6797228746757449
7,0.0,0.7328552769695085,,,0.0,0.7328552769695085,0.0,0.7351657021964928
8,0.0,0.7487908576263184,,,0.0,0.7487908576263184,0.0,0.7478664966523167
9,0.0,0.7333118431062089,,,0.0,0.7333118431062089,0.0,0.7306097101249628
10,0.008017301559448242,0.6632682061784263,,,0.0,0.6632682061784263,0.0,0.6635574911577453
11,0.0,0.7325705124194091,,,0.0,0.7325705124194091,0.0,0.7332663399405468
12,0.0,0.67669743145751,,,0.0,0.67669743145751,0.0,0.6727379669684264
13,0.0,0.667680179585945,,,0.0,0.667680179585945,0.0,0.6662686637401767
14,0.0,0.7253498828249274,,,0.0,0.7253498828249274,0.0,0.725546584363672
15,0.0,0.6698412024166763,,,0.0,0.6698412024166763,0.0,0.6716255330427179
16,0.0,0.7327711735417612,,,0.008000373840332031,0.7327711735417612,0.0,0.7326241494058277
17,0.0,0.6321992590156044,,,0.0,0.6321992590156044,0.0,0.6292352741735768
18,0.0,0.6772414465355681,,,0.0,0.6772414465355681,0.0,0.6749249529834818
19,0.0,0.7485936157730636,,,0.0,0.7485936157730636,0.0,0.750401516281028
20,0.0,0.7838072084667946,,,0.0,0.7838072084667946,0.0,0.7854839920672188
21,0.0,0.7459191294734793,,,0.0,0.7459191294734793,0.0,0.7451042993553862
22,0.0,0.6399134579905297,,,0.015628576278686523,0.6399134579905297,0.0,0.6397050539833846
23,0.0,0.7295853196293371,,,0.0,0.7295853196293371,0.0,0.7293846262314158
24,0.0,0.7596876921615134,,,0.0,0.7596876921615134,0.0,0.7569120521158006
25,0.0,0.7373685572256916,,,0.0,0.7373685572256916,0.0,0.7398553473919041
26,0.0,0.6426569921536796,,,0.0,0.6426569921536796,0.0,0.6414096645708383
27,0.0,0.748823957252206,,,0.0,0.748823957252206,0.0,0.7531813689074643
28,0.0,0.7066249435555665,,,0.0,0.7066249435555665,0.0,0.7056394878651207
29,0.0,0.6844620469822625,,,0.0,0.6844620469822625,0.0,0.6835862287443883
30,0.0,0.7629621029239737,,,0.0,0.7629621029239737,0.01562952995300293,0.7648018304148727
