,LinReg(Time),Poly(Time),Ridge(Time),lasso(Time)
0,0.00785064697265625,,0.007511138916015625,0.008005857467651367
1,0.0,,0.00800323486328125,0.0
2,0.008004188537597656,,0.0,0.0
3,0.008001327514648438,,0.0,0.00800180435180664
4,0.0,,0.008002281188964844,0.0
5,0.0,,0.00799870491027832,0.0
6,0.008660316467285156,,0.0,0.0
7,0.0,,0.0,0.015628814697265625
8,0.0045146942138671875,,0.0,0.0
9,0.011506080627441406,,0.0,0.0
10,0.0,,0.0,0.015633106231689453
11,0.0,,0.0,0.0
12,0.0,,0.0,0.01563239097595215
13,0.0,,0.0,0.0
14,0.0,,0.0,0.0
15,0.0,,0.015658140182495117,0.0
16,0.015611410140991211,,0.0,0.010524511337280273
17,0.005523204803466797,,0.0,0.0
18,0.015635013580322266,,0.0,0.0
19,0.015655517578125,,0.0,0.0
20,0.015634775161743164,,0.0,0.0
21,0.0,,0.0,0.01562643051147461
22,0.0,,0.0,0.0
23,0.0,,0.01562786102294922,0.0
24,0.016619443893432617,,0.0,0.0
25,0.015044212341308594,,0.0,0.0
26,0.015666961669921875,,0.0,0.0
27,0.015629291534423828,,0.0,0.0
28,0.015630245208740234,,0.0,0.0
29,0.015609502792358398,,0.0,0.0
30,0.015624523162841797,,0.007020711898803711,0.009023904800415039
31,0.0,,0.0,0.015641212463378906
32,0.0,,0.0,0.0
33,0.015627622604370117,,0.0,0.0
34,0.0,,0.0,0.01562976837158203
35,0.0,,0.0,0.0
36,0.015631675720214844,,0.0,0.0
37,0.0,,0.015627145767211914,0.0
38,0.0,,0.0,0.0
39,0.0030095577239990234,,0.0,0.0
40,0.0,,0.015635967254638672,0.0
41,0.0,,0.0,0.0
42,0.015630245208740234,,0.0,0.0
43,0.0,,0.0,0.01563096046447754
44,0.0,,0.0,0.0
45,0.0,,0.015631914138793945,0.0
46,0.0,,0.0,0.0
47,0.015628337860107422,,0.0,0.0
48,0.0,,0.0,0.0156252384185791
49,0.0035161972045898438,,0.0,0.012520551681518555
50,0.0,,0.0,0.0
51,0.0,,0.015663862228393555,0.0
52,0.0,,0.0,0.0
53,0.01562952995300293,,0.0,0.0
54,0.0,,0.0,0.015605926513671875
55,0.0,,0.0,0.0
56,0.0,,0.015654802322387695,0.0
57,0.0,,0.0,0.0
58,0.015603780746459961,,0.0,0.0
59,0.009541749954223633,,0.0,0.0065402984619140625
60,0.0,,0.0,0.0
61,0.0,,0.0156402587890625,0.0
62,0.0,,0.0,0.0
63,0.015630722045898438,,0.0,0.0
64,0.0,,0.0,0.015650272369384766
65,0.0,,0.0,0.0
66,0.0,,0.01562976837158203,0.0
67,0.0,,0.015628576278686523,0.0
68,0.0,,0.0,0.0
69,0.015540599822998047,,0.0,0.0
70,0.0,,0.0,0.01566147804260254
71,0.0,,0.0,0.0
72,0.0,,0.015630722045898438,0.0
73,0.0,,0.0,0.0
74,0.015608549118041992,,0.0,0.0
75,0.0,,0.0,0.01565074920654297
76,0.0,,0.0,0.0
77,0.0,,0.015628814697265625,0.0
78,0.0,,0.0,0.0
79,0.015621662139892578,,0.0,0.006513357162475586
80,0.0,,0.0,0.009514808654785156
81,0.0,,0.0,0.0
82,0.0,,0.01563549041748047,0.0
83,0.0,,0.0,0.0
84,0.015630006790161133,,0.0,0.0
85,0.0,,0.0,0.01562952995300293
86,0.0,,0.0,0.0
87,0.0,,0.015630006790161133,0.0
88,0.0,,0.0,0.0
89,0.015656232833862305,,0.0,0.0
90,0.0,,0.012538671493530273,0.003536224365234375
91,0.0,,0.0,0.0
92,0.0,,0.0168607234954834,0.0
93,0.007995128631591797,,0.0,0.00800180435180664
94,0.0,,0.00802755355834961,0.0
95,0.0,,0.008002042770385742,0.0
96,0.007974624633789062,,0.0,0.0
97,0.008027791976928711,,0.0,0.0
98,0.008217096328735352,,0.0,0.0
99,0.0,,0.0,0.015649795532226562
100,0.0,,0.0,0.00803685188293457
101,0.0,,0.008034467697143555,0.0
102,0.0,,0.0,0.0
103,0.015637636184692383,,0.0,0.0
104,0.0,,0.01565408706665039,0.0
105,0.0,,0.0,0.0
106,0.015631437301635742,,0.0,0.0
107,0.0,,0.0,0.015629291534423828
108,0.0,,0.0,0.0
109,0.0,,0.01562976837158203,0.0
110,0.0,,0.0,0.01401662826538086
111,0.002012491226196289,,0.0,0.0
112,0.0,,0.0,0.015639781951904297
113,0.0,,0.0,0.0
114,0.0,,0.015651226043701172,0.0
115,0.0,,0.0,0.007997512817382812
116,0.0,,0.00800466537475586,0.0
117,0.0,,0.008001565933227539,0.0
118,0.008002042770385742,,0.0,0.0
119,0.008001327514648438,,0.008029699325561523,0.0
120,0.0,,0.008296966552734375,0.0
121,0.0,,0.0,0.0
122,0.010016441345214844,,0.0,0.0
123,0.0,,0.0,0.015636205673217773
124,0.0,,0.0,0.0
125,0.0,,0.015650510787963867,0.0
126,0.0,,0.0,0.0
127,0.015633106231689453,,0.0,0.0
128,0.0,,0.0,0.01563119888305664
129,0.0,,0.0,0.0
130,0.0,,0.015604972839355469,0.0
131,0.0,,0.0,0.01201629638671875
132,0.0040090084075927734,,0.0,0.0
133,0.0,,0.0,0.015630483627319336
134,0.0,,0.0,0.0
135,0.0,,0.0,0.01565241813659668
136,0.0,,0.0,0.0
137,0.01561594009399414,,0.0,0.0
138,0.0,,0.0,0.015635967254638672
139,0.0,,0.0,0.0
140,0.0,,0.01563549041748047,0.0
141,0.0,,0.0,0.0
142,0.0156097412109375,,0.0025277137756347656,0.0
143,0.0,,0.0,0.013535499572753906
144,0.0,,0.0,0.0
145,0.0,,0.015637874603271484,0.0
146,0.0,,0.0,0.0
147,0.01565408706665039,,0.0,0.0
148,0.0,,0.0,0.01562952995300293
149,0.0,,0.0,0.0
150,0.0,,0.01562952995300293,0.0
151,0.0,,0.0,0.0
152,0.015605449676513672,,0.0,0.0
153,0.008521080017089844,,0.0,0.0
154,0.0,,0.0,0.0
155,0.0,,0.0,0.0156404972076416
156,0.0,,0.0,0.0
157,0.0,,0.01565074920654297,0.0
158,0.0,,0.0,0.0
159,0.015629291534423828,,0.0,0.0
160,0.0,,0.0,0.015630006790161133
161,0.0,,0.0,0.0
162,0.0,,0.015609264373779297,0.0
163,0.0,,0.0,0.0
164,0.0015108585357666016,,0.0,0.0
165,0.0,,0.015633583068847656,0.0
166,0.0,,0.0,0.01563119888305664
167,0.0,,0.0,0.0
168,0.015625715255737305,,0.0,0.0
169,0.0,,0.0,0.015634536743164062
170,0.0,,0.0,0.0
171,0.0,,0.015627145767211914,0.0
172,0.0,,0.0,0.0
173,0.015629291534423828,,0.005013227462768555,0.0
174,0.0,,0.0,0.011012077331542969
175,0.0,,0.0,0.0
176,0.0,,0.015635967254638672,0.0
177,0.0,,0.0,0.015630722045898438
178,0.0,,0.0,0.0
179,0.0,,0.0,0.0
180,0.0,,0.0,0.0
181,0.0,,0.0,0.0
182,0.0,,0.0,0.0
183,0.01563239097595215,,0.0,0.0
184,0.011014699935913086,,0.0,0.005010128021240234
185,0.0,,0.0,0.0
186,0.0,,0.015633583068847656,0.0
187,0.0,,0.0,0.0
188,0.01563572883605957,,0.0,0.0
189,0.0,,0.0,0.015628814697265625
190,0.0,,0.0,0.0
191,0.0,,0.015629291534423828,0.0
192,0.0,,0.0,0.0
193,0.01565265655517578,,0.0,0.0
194,0.0,,0.0,0.017156600952148438
195,0.0,,0.0,0.0
196,0.0,,0.0,0.01452946662902832
197,0.0,,0.0,0.0
198,0.0,,0.015662670135498047,0.0
199,0.0,,0.0,0.0
200,0.015629291534423828,,0.0,0.0
201,0.0,,0.0,0.015627622604370117
202,0.0,,0.0,0.0
203,0.0,,0.015607357025146484,0.0
204,0.0,,0.0,0.0
205,0.015654802322387695,,0.0,0.0
206,0.007539987564086914,,0.0,0.008540868759155273
207,0.0,,0.0,0.0
208,0.0,,0.015638351440429688,0.0
209,0.0,,0.0,0.0
210,0.01563239097595215,,0.0,0.0
211,0.0,,0.0,0.0
212,0.01562952995300293,,0.0,0.0
213,0.0,,0.0,0.01563119888305664
214,0.0,,0.0,0.0
215,0.0,,0.015625953674316406,0.0
216,0.0,,0.0,0.01602649688720703
217,0.0,,0.0,0.0
218,0.0,,0.0,0.015639066696166992
219,0.0,,0.0,0.015623807907104492
220,0.0,,0.0,0.0
221,0.01563096046447754,,0.0,0.0
222,0.0,,0.0,0.01563405990600586
223,0.0,,0.0,0.0
224,0.0,,0.015625953674316406,0.0
225,0.0,,0.0,0.0
226,0.0,,0.015629291534423828,0.004011392593383789
227,0.0,,0.0,0.0
228,0.012012958526611328,,0.0,0.0
229,0.015664339065551758,,0.0,0.0
230,0.0,,0.0,0.015603780746459961
231,0.0,,0.0,0.0
232,0.0,,0.015654563903808594,0.0
233,0.0,,0.0,0.0
234,0.01562952995300293,,0.0,0.0
235,0.0,,0.0,0.015630006790161133
236,0.0,,0.0,0.010018110275268555
237,0.0,,0.006017923355102539,0.0
238,0.0,,0.0,0.0
239,0.0,,0.015639543533325195,0.0
240,0.0,,0.0,0.0
241,0.015630006790161133,,0.0,0.0
242,0.0,,0.0,0.015651226043701172
243,0.0,,0.0,0.01560831069946289
244,0.0,,0.0,0.0
245,0.0,,0.015650033950805664,0.0
246,0.0,,0.0,0.0
247,0.016119718551635742,,0.0,0.0
248,0.0,,0.0,0.015512704849243164
249,0.0,,0.0,0.0
250,0.0,,0.0,0.015637636184692383
251,0.0,,0.0,0.0
252,0.0,,0.015630245208740234,0.0
253,0.0,,0.0,0.0
254,0.015655517578125,,0.0,0.0
255,0.0,,0.0,0.015629053115844727
256,0.0,,0.0,0.0
257,0.0,,0.015630245208740234,0.0
258,0.0065402984619140625,,0.0,0.0
259,0.00954127311706543,,0.0,0.0
260,0.0,,0.0,0.01564192771911621
261,0.0,,0.0,0.0
262,0.0,,0.015651226043701172,0.0
263,0.0,,0.0,0.0
264,0.015604734420776367,,0.0,0.0
265,0.0,,0.015631437301635742,0.0
266,0.0,,0.0,0.0
267,0.0,,0.015627622604370117,0.0
268,0.0,,0.0,0.012514352798461914
269,0.0035185813903808594,,0.0,0.0
270,0.0,,0.0,0.015637874603271484
271,0.0,,0.0,0.0
272,0.0,,0.015651464462280273,0.0
273,0.0,,0.0,0.0
274,0.01563096046447754,,0.0,0.0
275,0.0,,0.0,0.015629291534423828
276,0.0,,0.0,0.0
277,0.0,,0.0,0.01560831069946289
278,0.0,,0.0,0.0
279,0.0,,0.015626907348632812,0.0030121803283691406
280,0.0,,0.0,0.0
281,0.013013601303100586,,0.0,0.0
282,0.0,,0.0,0.01564168930053711
283,0.0,,0.0,0.0
284,0.0,,0.015630006790161133,0.0
285,0.0,,0.0,0.0
286,0.0,,0.015630483627319336,0.0
287,0.0,,0.0,0.0
288,0.015629291534423828,,0.0,0.0
289,0.0,,0.0,0.015624046325683594
290,0.0,,0.0,0.009013175964355469
291,0.0,,0.0070116519927978516,0.0
292,0.0,,0.0,0.0
293,0.015636920928955078,,0.0,0.0
294,0.0,,0.0,0.01562952995300293
295,0.0,,0.0,0.0
296,0.0,,0.015634536743164062,0.0
297,0.0,,0.0,0.015624523162841797
298,0.0,,0.0,0.0
299,0.0,,0.015656709671020508,0.0
300,0.0,,0.0,0.0
301,0.016031265258789062,,0.0,0.0
302,0.0,,0.0,0.015659332275390625
303,0.0,,0.0,0.0
304,0.0,,0.015629291534423828,0.0
305,0.0,,0.0,0.0
306,0.015630483627319336,,0.0,0.0
307,0.0,,0.0,0.0
308,0.015628814697265625,,0.0,0.0
309,0.0,,0.0,0.015609502792358398
310,0.0,,0.0,0.0
311,0.0,,0.015626907348632812,0.005540132522583008
312,0.0,,0.0,0.0
313,0.010535955429077148,,0.0,0.0
314,0.0,,0.0,0.01566147804260254
315,0.0,,0.0,0.0
316,0.0,,0.015604019165039062,0.0
317,0.0,,0.0,0.0
318,0.015655517578125,,0.0,0.0
319,0.0,,0.0,0.015630483627319336
320,0.0,,0.0,0.0
321,0.0,,0.0,0.015629053115844727
322,0.0,,0.0,0.011511087417602539
323,0.0,,0.004513263702392578,0.0
324,0.0,,0.0,0.0
325,0.0156404972076416,,0.0,0.0
326,0.0,,0.01565241813659668,0.0
327,0.0,,0.0,0.01562976837158203
328,0.0,,0.0,0.0
329,0.0,,0.015607595443725586,0.0
330,0.0,,0.0,0.01565241813659668
331,0.0,,0.0,0.0
332,0.017142534255981445,,0.0,0.0
333,0.0,,0.0,0.014511823654174805
334,0.0,,0.0,0.0
335,0.0,,0.015641450881958008,0.0
336,0.0,,0.0,0.0
337,0.0156252384185791,,0.0,0.0
338,0.0,,0.0,0.015654802322387695
339,0.0,,0.0,0.0
340,0.015602588653564453,,0.0,0.0
341,0.0,,0.0,0.015630722045898438
342,0.0,,0.007540464401245117,0.0
343,0.0,,0.008541345596313477,0.0
344,0.0,,0.0,0.0
345,0.015662193298339844,,0.0,0.0
346,0.0,,0.0,0.015608549118041992
347,0.0,,0.0,0.0
348,0.0,,0.015651226043701172,0.0
349,0.0,,0.0,0.0
350,0.015629291534423828,,0.0,0.0
351,0.0,,0.0,0.0
