,LinReg(Time),Ridge(Time),lasso(Time)
0,0.007997989654541016,0.008001327514648438,0.0
1,0.00800466537475586,0.008004426956176758,0.0
2,0.007998228073120117,0.0,0.008002519607543945
3,0.0,0.0,0.007998466491699219
4,0.0,0.0,0.008010625839233398
5,0.0,0.007995843887329102,0.0
6,0.00800323486328125,0.0,0.0
7,0.0237274169921875,0.0,0.0
8,0.015630245208740234,0.004538059234619141,0.0
9,0.0,0.0,0.011536836624145508
10,0.0,0.0,0.0
11,0.0,0.015660762786865234,0.0
12,0.0,0.0,0.0
13,0.015630006790161133,0.0,0.015628337860107422
14,0.0,0.0,0.0
15,0.0,0.0,0.01563286781311035
16,0.0,0.0,0.0
17,0.015811920166015625,0.0,0.0
18,0.0,0.010785341262817383,0.0052967071533203125
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.015630006790161133,0.0,0.0
23,0.0,0.0,0.0153656005859375
24,0.0,0.0,0.0
25,0.0,0.01563572883605957,0.0
26,0.0,0.0,0.0
27,0.015630245208740234,0.0,0.0
28,0.0,0.0,0.0
29,0.01664137840270996,0.0,0.015014410018920898
30,0.0,0.0,0.0
31,0.0,0.0,0.015661954879760742
32,0.0,0.0,0.0
33,0.0,0.015630006790161133,0.0
34,0.0,0.0,0.0
35,0.015606880187988281,0.0,0.0
36,0.0,0.0,0.015653371810913086
37,0.0,0.0,0.0
38,0.0,0.015629291534423828,0.0
39,0.007039546966552734,0.0,0.0
40,0.009038448333740234,0.0,0.0
41,0.0,0.0,0.015636205673217773
42,0.0,0.0,0.0
43,0.01562976837158203,0.0,0.0
44,0.0,0.0,0.0
45,0.015629291534423828,0.0,0.0
46,0.0,0.0,0.015656471252441406
47,0.0,0.0,0.0
48,0.0,0.01562976837158203,0.0
49,0.0,0.0,0.01607227325439453
50,0.0,0.0,0.0
51,0.0,0.0,0.015660524368286133
52,0.0,0.0,0.0
53,0.0,0.01562976837158203,0.0
54,0.0,0.0,0.0
55,0.015604972839355469,0.0,0.0
56,0.0,0.0,0.015634536743164062
57,0.0,0.0,0.0
58,0.0,0.015625,0.0
59,0.0,0.0,0.0
60,0.01563429832458496,0.0035157203674316406,0.0
61,0.0,0.0,0.012514591217041016
62,0.0,0.0,0.0
63,0.015653610229492188,0.0,0.0
64,0.0,0.0,0.015611410140991211
65,0.0,0.0,0.0
66,0.015643596649169922,0.0,0.0
67,0.0,0.0,0.015618085861206055
68,0.0,0.0,0.0
69,0.015654563903808594,0.0,0.00954294204711914
70,0.0,0.006542205810546875,0.0
71,0.0,0.0,0.01566147804260254
72,0.0,0.0,0.015629291534423828
73,0.0,0.0,0.0
74,0.0,0.015610218048095703,0.0
75,0.0,0.0,0.0
76,0.015625953674316406,0.0,0.0
77,0.0,0.0,0.015655517578125
78,0.0,0.0,0.0
79,0.0,0.015540838241577148,0.0
80,0.0,0.0,0.0
