,Accuracy(Log Reg),Train-Time(Log Reg),Accuracy(Decision Tree),Train-Time(Decision Tree),Accuracy(Random Forest),Train-Time(Random Forest),Accuracy(Naive Bayes),Train-Time(Naive Bayes),Accuracy(SVM),Train-Time(SVM)
0,0.965034965034965,0.07201838493347168,0.951048951048951,0.0,0.993006993006993,0.17483043670654297,0.951048951048951,0.01562786102294922,0.965034965034965,1.3504366874694824
1,0.965034965034965,0.07856464385986328,0.9370629370629371,0.015634536743164062,0.986013986013986,0.2581937313079834,0.951048951048951,0.0,0.965034965034965,1.4379363059997559
2,0.965034965034965,0.04801511764526367,0.951048951048951,0.00800180435180664,0.986013986013986,0.21930837631225586,0.951048951048951,0.0,0.965034965034965,1.3509986400604248
3,0.965034965034965,0.0781550407409668,0.958041958041958,0.015630006790161133,0.986013986013986,0.1712198257446289,0.951048951048951,0.0,0.965034965034965,1.2796735763549805
4,0.965034965034965,0.04688668251037598,0.9440559440559441,0.00701141357421875,1.0,0.21782302856445312,0.951048951048951,0.007996559143066406,0.965034965034965,1.2968707084655762
5,0.965034965034965,0.04688835144042969,0.951048951048951,0.016026020050048828,0.986013986013986,0.15669941902160645,0.951048951048951,0.0,0.965034965034965,1.5186536312103271
6,0.965034965034965,0.047290802001953125,0.9370629370629371,0.015630006790161133,0.986013986013986,0.28263425827026367,0.951048951048951,0.01562786102294922,0.965034965034965,1.2866647243499756
7,0.965034965034965,0.031239986419677734,0.9370629370629371,0.0,1.0,0.18836450576782227,0.951048951048951,0.0,0.965034965034965,1.4056200981140137
8,0.965034965034965,0.04728055000305176,0.9300699300699301,0.015630483627319336,0.993006993006993,0.1571502685546875,0.951048951048951,0.0,0.965034965034965,1.3288540840148926
9,0.965034965034965,0.046915531158447266,0.951048951048951,0.0,0.986013986013986,0.2796151638031006,0.951048951048951,0.008002281188964844,0.965034965034965,1.4857139587402344
10,0.965034965034965,0.0468897819519043,0.958041958041958,0.016024112701416016,0.9790209790209791,0.3313322067260742,0.951048951048951,0.0,0.965034965034965,1.2395665645599365
11,0.965034965034965,0.06291341781616211,0.9440559440559441,0.015631914138793945,0.986013986013986,0.20779705047607422,0.951048951048951,0.008004188537597656,0.965034965034965,1.3256781101226807
12,0.965034965034965,0.06252360343933105,0.9440559440559441,0.007012605667114258,0.986013986013986,0.20252227783203125,0.951048951048951,0.0,0.965034965034965,1.2485120296478271
13,0.965034965034965,0.04731559753417969,0.951048951048951,0.0,0.9790209790209791,0.17300820350646973,0.951048951048951,0.0,0.965034965034965,1.4841578006744385
14,0.965034965034965,0.03165888786315918,0.9370629370629371,0.01563549041748047,0.986013986013986,0.1878364086151123,0.951048951048951,0.0,0.965034965034965,1.3753507137298584
15,0.965034965034965,0.031726837158203125,0.9370629370629371,0.015630245208740234,0.9790209790209791,0.2241816520690918,0.951048951048951,0.008007287979125977,0.965034965034965,1.5106966495513916
16,0.965034965034965,0.04801058769226074,0.9370629370629371,0.016004562377929688,0.986013986013986,0.27833056449890137,0.951048951048951,0.0,0.965034965034965,1.483060598373413
17,0.965034965034965,0.06298136711120605,0.951048951048951,0.01563096046447754,0.993006993006993,0.23211455345153809,0.951048951048951,0.0,0.965034965034965,1.5506649017333984
18,0.965034965034965,0.03125810623168945,0.9440559440559441,0.015628576278686523,0.986013986013986,0.15710115432739258,0.951048951048951,0.0,0.965034965034965,1.5527188777923584
19,0.965034965034965,0.06251883506774902,0.9440559440559441,0.016025066375732422,0.993006993006993,0.24437975883483887,0.951048951048951,0.0,0.965034965034965,1.5215749740600586
20,0.965034965034965,0.047290802001953125,0.9440559440559441,0.0,0.986013986013986,0.1883533000946045,0.951048951048951,0.0,0.965034965034965,1.478372573852539
21,0.965034965034965,0.056029558181762695,0.9440559440559441,0.0,0.986013986013986,0.2562239170074463,0.951048951048951,0.0,0.965034965034965,1.3223297595977783
22,0.965034965034965,0.0629584789276123,0.951048951048951,0.0,0.986013986013986,0.25611090660095215,0.951048951048951,0.0,0.965034965034965,1.6339926719665527
23,0.965034965034965,0.0560147762298584,0.9370629370629371,0.016003131866455078,0.9790209790209791,0.17725229263305664,0.951048951048951,0.0,0.965034965034965,1.7432618141174316
24,0.965034965034965,0.08802199363708496,0.9370629370629371,0.016004562377929688,0.986013986013986,0.18194365501403809,0.951048951048951,0.0,0.965034965034965,1.7342252731323242
25,0.965034965034965,0.07201600074768066,0.958041958041958,0.008000850677490234,1.0,0.24442601203918457,0.951048951048951,0.0,0.965034965034965,1.4336137771606445
26,0.965034965034965,0.06251978874206543,0.958041958041958,0.020669221878051758,0.993006993006993,0.21221184730529785,0.951048951048951,0.0,0.965034965034965,1.3250296115875244
27,0.965034965034965,0.07862973213195801,0.951048951048951,0.0,0.9790209790209791,0.22514629364013672,0.951048951048951,0.0,0.965034965034965,1.5599746704101562
28,0.965034965034965,0.06254768371582031,0.958041958041958,0.02266716957092285,0.9790209790209791,0.21041512489318848,0.951048951048951,0.0,0.965034965034965,1.3486042022705078
29,0.965034965034965,0.04679083824157715,0.951048951048951,0.0,0.986013986013986,0.23230433464050293,0.951048951048951,0.0,0.965034965034965,1.2950019836425781
30,0.965034965034965,0.07860517501831055,0.965034965034965,0.015627145767211914,0.986013986013986,0.1913304328918457,0.951048951048951,0.0,0.965034965034965,1.4601716995239258
31,0.965034965034965,0.0468904972076416,0.951048951048951,0.0,0.993006993006993,0.20907902717590332,0.951048951048951,0.0,0.965034965034965,1.4555888175964355
32,0.965034965034965,0.06291508674621582,0.951048951048951,0.0,0.9790209790209791,0.1939561367034912,0.951048951048951,0.008002519607543945,0.965034965034965,1.484032392501831
33,0.965034965034965,0.06251907348632812,0.9440559440559441,0.01562952995300293,0.993006993006993,0.19836783409118652,0.951048951048951,0.0,0.965034965034965,1.460587739944458
34,0.965034965034965,0.04733085632324219,0.9440559440559441,0.0,0.986013986013986,0.2705402374267578,0.951048951048951,0.0,0.965034965034965,1.3341870307922363
35,0.965034965034965,0.06251931190490723,0.951048951048951,0.01602792739868164,0.986013986013986,0.172410249710083,0.951048951048951,0.015629291534423828,0.965034965034965,1.5030155181884766
36,0.965034965034965,0.04231715202331543,0.958041958041958,0.0,0.993006993006993,0.18920087814331055,0.951048951048951,0.0,0.965034965034965,1.5318148136138916
37,0.965034965034965,0.07854604721069336,0.958041958041958,0.015631437301635742,0.993006993006993,0.21590733528137207,0.951048951048951,0.0,0.965034965034965,1.4761855602264404
